,Time,Commoners,Elites,Wealth,Nature
495,495.0,1005.0,0.0,0.4987321343235297,99.99746270906898
496,496.0,1005.0,0.0,0.4987321343235297,99.99746270906898
497,497.0,1015.0,0.0,0.4987192996241614,99.99741183507004
498,498.0,1015.0,0.0,0.4987192996241614,99.99741183507004
499,499.0,1025.0,0.0,0.4987064652832333,99.99736045351544
500,500.0,1025.0,0.0,0.4987064652832333,99.99736045351544
501,501.0,1036.0,0.0,0.4986923283221829,99.9973034008647
502,502.0,1036.0,0.0,0.4986923283221829,99.9973034008647
503,503.0,1047.0,0.0,0.4986781987773269,99.99724568220788
504,504.0,1047.0,0.0,0.4986781987773269,99.99724568220788
505,505.0,1058.0,0.0,0.4986640691461909,99.99718734859373
506,506.0,1058.0,0.0,0.4986640691461909,99.99718734859373
507,507.0,1069.0,0.0,0.4986499398815618,99.9971284004496
508,508.0,1069.0,0.0,0.4986499398815618,99.9971284004496
509,509.0,1079.0,0.0,0.4986371678188639,99.99707421994324
510,510.0,1079.0,0.0,0.4986371678188639,99.99707421994324
511,511.0,1090.0,0.0,0.4986229596170964,99.99701415564024
512,512.0,1090.0,0.0,0.4986229596170964,99.99701415564024
513,513.0,1101.0,0.0,0.4986088383749356,99.99695341983708
514,514.0,1101.0,0.0,0.4986088383749356,99.99695341983708
515,515.0,1112.0,0.0,0.4985947088495167,99.99689206849864
516,516.0,1112.0,0.0,0.4985947088495167,99.99689206849864
517,517.0,1123.0,0.0,0.4985805801062566,99.99683010213306
518,518.0,1123.0,0.0,0.4985805801062566,99.99683010213306
519,519.0,1134.0,0.0,0.4985664511226524,99.99676752064596
520,520.0,1134.0,0.0,0.4985664511226524,99.99676752064596
521,521.0,1146.0,0.0,0.4985508826011612,99.9966986136238
522,522.0,1146.0,0.0,0.4985508826011612,99.9966986136238
523,523.0,1158.0,0.0,0.4985354787050116,99.99662891109284
524,524.0,1158.0,0.0,0.4985354787050116,99.99662891109284
525,525.0,1169.0,0.0,0.4985215184001577,99.99656430502058
526,526.0,1169.0,0.0,0.4985215184001577,99.99656430502058
527,527.0,1180.0,0.0,0.4985073587656056,99.99649914933477
528,528.0,1180.0,0.0,0.4985073587656056,99.99649914933477
529,529.0,1192.0,0.0,0.4984917373878373,99.9964274398482
530,530.0,1192.0,0.0,0.4984917373878373,99.9964274398482
531,531.0,1204.0,0.0,0.4984763490812134,99.9963549291136
532,532.0,1204.0,0.0,0.4984763490812134,99.9963549291136
533,533.0,1216.0,0.0,0.4984609141075323,99.99628168464932
534,534.0,1216.0,0.0,0.4984609141075323,99.99628168464932
535,535.0,1228.0,0.0,0.4984454881487039,99.99620770712764
536,536.0,1228.0,0.0,0.4984454881487039,99.99620770712764
537,537.0,1241.0,0.0,0.498428502181824,99.99612681410424
538,538.0,1241.0,0.0,0.498428502181824,99.99612681410424
539,539.0,1254.0,0.0,0.4984118408792939,99.99604498636484
540,540.0,1254.0,0.0,0.4984118408792939,99.99604498636484
541,541.0,1266.0,0.0,0.4983966873176503,99.99596860840428
542,542.0,1266.0,0.0,0.4983966873176503,99.99596860840428
543,543.0,1278.0,0.0,0.4983811817166285,99.99589157411566
544,544.0,1278.0,0.0,0.4983811817166285,99.99589157411566
545,545.0,1291.0,0.0,0.4983641521680735,99.99580737638983
546,546.0,1291.0,0.0,0.4983641521680735,99.99580737638983
547,547.0,1304.0,0.0,0.4983475127773328,99.99572223714884
548,548.0,1304.0,0.0,0.4983475127773328,99.99572223714884
549,549.0,1317.0,0.0,0.4983307556841592,99.9956362354494
550,550.0,1317.0,0.0,0.4983307556841592,99.9956362354494
551,551.0,1330.0,0.0,0.498314033636155,99.99554937214332
552,552.0,1330.0,0.0,0.498314033636155,99.99554937214332
553,553.0,1344.0,0.0,0.498295613816646,99.99545495326385
554,554.0,1344.0,0.0,0.498295613816646,99.99545495326385
555,555.0,1358.0,0.0,0.4982777201122544,99.9953594478866
556,556.0,1358.0,0.0,0.4982777201122544,99.9953594478866
557,557.0,1371.0,0.0,0.4982613582636827,99.9952697743382
558,558.0,1371.0,0.0,0.4982613582636827,99.9952697743382
559,559.0,1384.0,0.0,0.4982444817105346,99.99517932906195
560,560.0,1384.0,0.0,0.4982444817105346,99.99517932906195
561,561.0,1398.0,0.0,0.498226047148579,99.9950810606719
562,562.0,1398.0,0.0,0.498226047148579,99.9950810606719
563,563.0,1412.0,0.0,0.4982081728557597,99.99498169778596
