,Time,Commoners,Elites,Wealth,Nature
1745,1745.0,3798.0,0.0,1117.2506001582396,99.38138290665476
1746,1746.0,3798.0,0.0,1117.2506001582396,99.38138290665476
1747,1747.0,3874.0,0.0,1133.3046140279705,99.35550985204418
1748,1748.0,3874.0,0.0,1133.3046140279705,99.35550985204418
1749,1749.0,3951.0,0.0,1149.292600490043,99.32867362669816
1750,1750.0,3951.0,0.0,1149.292600490043,99.32867362669816
1751,1751.0,4030.0,0.0,1165.192808494909,99.30057718351964
1752,1752.0,4030.0,0.0,1165.192808494909,99.30057718351964
1753,1753.0,4111.0,0.0,1180.9817494458246,99.27113450583865
1754,1754.0,4111.0,0.0,1180.9817494458246,99.27113450583865
1755,1755.0,4193.0,0.0,1196.6342333637351,99.24060739382338
1756,1756.0,4193.0,0.0,1196.6342333637351,99.24060739382338
1757,1757.0,4277.0,0.0,1212.12337488595,99.2086882283801
1758,1758.0,4277.0,0.0,1212.12337488595,99.2086882283801
1759,1759.0,4363.0,0.0,1227.4205845441556,99.175283723288
1760,1760.0,4363.0,0.0,1227.4205845441556,99.175283723288
1761,1761.0,4450.0,0.0,1242.4959937419849,99.14066888114333
1762,1762.0,4450.0,0.0,1242.4959937419849,99.14066888114333
1763,1763.0,4539.0,0.0,1257.317152380106,99.1045201595372
1764,1764.0,4539.0,0.0,1257.317152380106,99.1045201595372
1765,1765.0,4630.0,0.0,1271.8503565802273,99.0667357173288
1766,1766.0,4630.0,0.0,1271.8503565802273,99.0667357173288
1767,1767.0,4723.0,0.0,1286.0597727903858,99.02724860715657
1768,1768.0,4723.0,0.0,1286.0597727903858,99.02724860715657
1769,1769.0,4817.0,0.0,1299.9078531776888,98.98635843399666
1770,1770.0,4817.0,0.0,1299.9078531776888,98.98635843399666
1771,1771.0,4913.0,0.0,1313.3542866622356,98.94372054473776
1772,1772.0,4913.0,0.0,1313.3542866622356,98.94372054473776
1773,1773.0,5011.0,0.0,1326.3572090787486,98.899220684011
1774,1774.0,5011.0,0.0,1326.3572090787486,98.899220684011
1775,1775.0,5111.0,0.0,1338.8722298319035,98.852783743643
1776,1776.0,5111.0,0.0,1338.8722298319035,98.852783743643
1777,1777.0,5213.0,0.0,1350.8535441828349,98.8043400971615
1778,1778.0,5213.0,0.0,1350.8535441828349,98.8043400971615
1779,1779.0,5317.0,0.0,1362.2533013013262,98.7538195405686
1780,1780.0,5317.0,0.0,1362.2533013013262,98.7538195405686
